"Account History - Account","Account History - ID","Account History - Next","Account History - Operation ID","Account History - Sequence","Additional Data - Fee Data - Amount","Additional Data - Fee Data -Asset","Additional Data - Transfer Data - Amount","Additional Data - Transfer Data - Asset","Block Data - Block Number","Block Data - Block Time","Block Data - Transaction ID","Operation History - Raw Operation","Operation History - Operation in Transaction","Operation History - Operation Result","Operation History - Transaction in Block","Operation Data - Virtual Operation","Operation Type"
1.2.131183,2.9.630650629,2.9.630650628,1.11.612824934,57927,,,,,32647317,2018-11-28T17:34:36,01a3c9796de23847828c0055b2827946a51c763e,,0,"[0,{}]",1,4866,4
1.2.131183,2.9.630650664,2.9.630650629,1.11.612824969,57928,,,,,32647317,2018-11-28T17:34:36,8fb95500da446713ba5bc4ed44792ea940969448,,0,"[1,""1.8.94789""]",30,4901,3
1.2.131183,2.9.630650628,2.9.630650618,1.11.612824933,57926,,,,,32647317,2018-11-28T17:34:36,01a3c9796de23847828c0055b2827946a51c763e,,0,"[1,""1.7.255898695""]",1,4865,1
1.2.131183,2.9.630650618,2.9.630650583,1.11.612824923,57925,,,,,32647316,2018-11-28T17:34:33,10e5e5cecb4a48cbbfeed209207288a7f527fbb9,,0,"[1,""1.8.94789""]",16,4810,3
1.2.131183,2.9.630650581,2.9.630601899,1.11.612824887,57922,,,,,32647315,2018-11-28T17:34:30,819f10a459fd4444032dbbc91a5cb5e79907f405,,0,"[1,""1.8.94789""]",37,4739,3
1.2.131183,2.9.630650582,2.9.630650581,1.11.612824888,57923,,,,,32647315,2018-11-28T17:34:30,212c6f44338ed83040f75e59521a40a6db05fe13,,0,"[1,""1.7.255898680""]",38,4740,1
1.2.131183,2.9.630650583,2.9.630650582,1.11.612824889,57924,,,,,32647315,2018-11-28T17:34:30,212c6f44338ed83040f75e59521a40a6db05fe13,,0,"[0,{}]",38,4741,4
1.2.131183,2.9.630601899,2.9.630601846,1.11.612777540,57921,,,,,32646138,2018-11-28T16:35:30,8c984c790453b06d62b40a91c4f38fc9ed7f3293,,0,"[1,""1.8.94789""]",20,32339,3
1.2.131183,2.9.630601845,2.9.630601843,1.11.612777486,57919,,,,,32646137,2018-11-28T16:35:27,4db049448905836a5e2a07193125c946aeeec398,,0,"[1,""1.7.255878183""]",19,32237,1
1.2.131183,2.9.630601846,2.9.630601845,1.11.612777487,57920,,,,,32646137,2018-11-28T16:35:27,4db049448905836a5e2a07193125c946aeeec398,,0,"[0,{}]",19,32238,4
1.2.131183,2.9.630601843,2.9.630554948,1.11.612777484,57918,,,,,32646137,2018-11-28T16:35:27,4d23c0dd3673161061d2d69f5e78ac6e569ae838,,0,"[1,""1.8.94789""]",17,32235,3
1.2.131183,2.9.630554948,2.9.630554876,1.11.612731700,57917,,,,,32644953,2018-11-28T15:36:06,17fcdb5d49bc6326b6d82f08c57f0aeaba6ea202,,0,"[1,""1.8.94789""]",22,57479,3
1.2.131183,2.9.630554872,2.9.630550639,1.11.612731634,57914,,,,,32644952,2018-11-28T15:36:03,1a4fe82c84b85c59e95fed439474c02cb015d5df,,0,"[1,""1.8.94789""]",8,57318,3
1.2.131183,2.9.630554875,2.9.630554872,1.11.612731637,57915,,,,,32644952,2018-11-28T15:36:03,a3f4df1b214feb609d0522866a553e6e29cc504c,,0,"[1,""1.7.255859180""]",11,57321,1
1.2.131183,2.9.630554876,2.9.630554875,1.11.612731638,57916,,,,,32644952,2018-11-28T15:36:03,a3f4df1b214feb609d0522866a553e6e29cc504c,,0,"[0,{}]",11,57322,4
1.2.131183,2.9.630550595,2.9.630550539,1.11.612727432,57911,,,,,32644860,2018-11-28T15:31:27,6e5101157165fea5189d134bb22ae5f6a22effc6,,0,"[1,""1.7.255857500""]",0,46942,1
1.2.131183,2.9.630550596,2.9.630550595,1.11.612727433,57912,,,,,32644860,2018-11-28T15:31:27,6e5101157165fea5189d134bb22ae5f6a22effc6,,0,"[0,{}]",0,46943,4
1.2.131183,2.9.630550639,2.9.630550596,1.11.612727474,57913,,,,,32644860,2018-11-28T15:31:27,8e389c1807cedb0c65162485023af6b80e350a1a,,0,"[1,""1.8.94789""]",28,46984,3
1.2.131183,2.9.630550539,2.9.630549799,1.11.612727376,57910,,,,,32644859,2018-11-28T15:31:24,3d32904e8af0d043f09a690bd6c44d8258b37742,,0,"[1,""1.8.94789""]",16,46753,3
1.2.131183,2.9.630549799,2.9.630549741,1.11.612726644,57909,,,,,32644843,2018-11-28T15:30:36,ec0b5aaf7638defbeca2ed0889430ee0fcc85234,,0,"[1,""1.8.94789""]",3,44925,3
1.2.131183,2.9.630549738,2.9.630549692,1.11.612726585,57906,,,,,32644842,2018-11-28T15:30:33,81d3a1bc878880b487db9220562c1ed8707b3009,,0,"[1,""1.8.94789""]",7,44831,3
1.2.131183,2.9.630549741,2.9.630549740,1.11.612726588,57908,,,,,32644842,2018-11-28T15:30:33,148176801dbc5a4c16fa13c685a10c26bdf836ab,,0,"[0,{}]",9,44834,4
1.2.131183,2.9.630549740,2.9.630549738,1.11.612726587,57907,,,,,32644842,2018-11-28T15:30:33,148176801dbc5a4c16fa13c685a10c26bdf836ab,,0,"[1,""1.7.255857172""]",9,44833,1
1.2.131183,2.9.630549668,2.9.630543406,1.11.612726517,57903,,,,,32644841,2018-11-28T15:30:30,d2a2ddfe022ec8a3c3c39be83e3f123cb9d45fd0,,0,"[1,""1.8.94789""]",4,44683,3
1.2.131183,2.9.630549691,2.9.630549668,1.11.612726540,57904,,,,,32644841,2018-11-28T15:30:30,29161abb01f394f98c554f820ce1ee21e8cbdb74,,0,"[1,""1.7.255857162""]",10,44706,1
1.2.131183,2.9.630549692,2.9.630549691,1.11.612726541,57905,,,,,32644841,2018-11-28T15:30:30,29161abb01f394f98c554f820ce1ee21e8cbdb74,,0,"[0,{}]",10,44707,4
1.2.131183,2.9.630543406,2.9.630543362,1.11.612720337,57902,,,,,32644704,2018-11-28T15:23:39,b918eb3eb9194f5a0caae4a386eff61ab10e3d13,,0,"[1,""1.8.94789""]",11,27871,3
1.2.131183,2.9.630543331,2.9.630543103,1.11.612720262,57895,,,,,32644702,2018-11-28T15:23:33,7a3b9d9f6d6bcadbec5750235754b26704f5d56d,,0,"[1,""1.8.94789""]",1,27694,3
1.2.131183,2.9.630543361,2.9.630543359,1.11.612720292,57900,,,,,32644702,2018-11-28T15:23:33,71a903f94fd4cc54ec7916d79e1dc368bf5c240a,,0,"[1,""1.7.255854639""]",21,27724,1
1.2.131183,2.9.630543359,2.9.630543336,1.11.612720290,57899,,,,,32644702,2018-11-28T15:23:33,a02bc3909cc5aadf1d1cdfa408c43046c567cfc0,,0,"[1,""1.8.94789""]",19,27722,3
1.2.131183,2.9.630543362,2.9.630543361,1.11.612720293,57901,,,,,32644702,2018-11-28T15:23:33,71a903f94fd4cc54ec7916d79e1dc368bf5c240a,,0,"[0,{}]",21,27725,4
1.2.131183,2.9.630543333,2.9.630543332,1.11.612720264,57897,,,,,32644702,2018-11-28T15:23:33,c649fa106fed25f155bf977a0a5a2bd33e0a0c26,,0,"[0,{}]",2,27696,4
1.2.131183,2.9.630543336,2.9.630543333,1.11.612720267,57898,,,,,32644702,2018-11-28T15:23:33,c649fa106fed25f155bf977a0a5a2bd33e0a0c26,,0,"[0,{}]",2,27699,4
1.2.131183,2.9.630543332,2.9.630543331,1.11.612720263,57896,,,,,32644702,2018-11-28T15:23:33,c649fa106fed25f155bf977a0a5a2bd33e0a0c26,,0,"[1,""1.7.255854628""]",2,27695,1
1.2.131183,2.9.630543103,2.9.630543073,1.11.612720038,57894,,,,,32644696,2018-11-28T15:23:15,19b32e65b3d2fcf637613874299e7138680cd95e,,0,"[1,""1.8.94789""]",11,27200,3
1.2.131183,2.9.630543070,2.9.630542929,1.11.612720006,57891,,,,,32644695,2018-11-28T15:23:12,c2b807c34f9e864577bb06782bf6874b6600644f,,0,"[1,""1.8.94789""]",32,27005,3
1.2.131183,2.9.630543072,2.9.630543070,1.11.612720008,57892,,,,,32644695,2018-11-28T15:23:12,e674b97c19948e4a3dffc573756075e7ec594b1a,,0,"[1,""1.7.255854512""]",34,27007,1
1.2.131183,2.9.630543073,2.9.630543072,1.11.612720009,57893,,,,,32644695,2018-11-28T15:23:12,e674b97c19948e4a3dffc573756075e7ec594b1a,,0,"[0,{}]",34,27008,4
1.2.131183,2.9.630542923,2.9.630542873,1.11.612719861,57888,,,,,32644694,2018-11-28T15:23:09,af38872aa81d942f8c918b3626cb39a29e0e77b3,,0,"[1,""1.8.94789""]",27,26498,3
1.2.131183,2.9.630542928,2.9.630542923,1.11.612719866,57889,,,,,32644694,2018-11-28T15:23:09,cfd1d750579c28ce14e43751c9bb529686f44f5a,,0,"[1,""1.7.255854470""]",32,26503,1
1.2.131183,2.9.630542929,2.9.630542928,1.11.612719867,57890,,,,,32644694,2018-11-28T15:23:09,cfd1d750579c28ce14e43751c9bb529686f44f5a,,0,"[0,{}]",32,26504,4
